ts,file,trig_hex,inning,side,B,S,O,half,bases_1B2B3B
20251213_115004,snaps/20251213_115004_trig20_i1裏_b0s0o0_bases101.bin,20,1,裏,0,0,0,1,101
20251213_115047,snaps/20251213_115047_trig30_i1裏_b0s0o1_bases101.bin,30,1,裏,0,0,1,1,101
20251213_115106,snaps/20251213_115106_trig40_i1裏_b0s0o1_bases101.bin,40,1,裏,0,0,1,1,101
20251213_115125,snaps/20251213_115125_trig50_i1裏_b0s0o2_bases101.bin,50,1,裏,0,0,2,1,101
20251213_115146,snaps/20251213_115146_trig60_i2表_b0s0o0_basesskip.bin,60,2,表,0,0,0,2,skip
20251213_115356,snaps/20251213_115356_trig70_i2裏_b0s0o1_bases000.bin,70,2,裏,0,0,1,3,000
20251213_115421,snaps/20251213_115421_trig80_i2裏_b0s0o2_bases000.bin,80,2,裏,0,0,2,3,000
20251213_115447,snaps/20251213_115447_trig00_i2裏_b0s1o2_bases100.bin,00,2,裏,0,1,2,3,100
20251213_115509,snaps/20251213_115509_trig10_i3表_b0s0o0_basesskip.bin,10,3,表,0,0,0,4,skip
20251213_115627,snaps/20251213_115627_trig20_i3裏_b0s0o1_bases000.bin,20,3,裏,0,0,1,5,000
20251213_115642,snaps/20251213_115642_trig30_i3裏_b0s0o1_bases100.bin,30,3,裏,0,0,1,5,100
20251213_115659,snaps/20251213_115659_trig40_i3裏_b0s0o1_bases110.bin,40,3,裏,0,0,1,5,110
20251213_115721,snaps/20251213_115721_trig50_i3裏_b0s0o1_bases111.bin,50,3,裏,0,0,1,5,111
20251213_115752,snaps/20251213_115752_trig60_i3裏_b0s0o2_bases111.bin,60,3,裏,0,0,2,5,111
20251213_115820,snaps/20251213_115820_trig70_i3裏_b0s1o2_bases101.bin,70,3,裏,0,1,2,5,101
20251213_115837,snaps/20251213_115837_trig80_i4表_b0s0o0_basesskip.bin,80,4,表,0,0,0,6,skip
20251213_115900,snaps/20251213_115900_trig00_i4裏_b0s0o0_bases100.bin,00,4,裏,0,0,0,7,100
20251213_115925,snaps/20251213_115925_trig10_i4裏_b0s0o0_bases101.bin,10,4,裏,0,0,0,7,101
20251213_115938,snaps/20251213_115938_trig20_i4裏_b0s0o1_bases110.bin,20,4,裏,0,0,1,7,110
20251213_115959,snaps/20251213_115959_trig30_i4裏_b0s0o1_bases000.bin,30,4,裏,0,0,1,7,000
20251213_120023,snaps/20251213_120023_trig40_i4裏_b0s0o1_bases100.bin,40,4,裏,0,0,1,7,100
20251213_120047,snaps/20251213_120047_trig50_i4裏_b0s0o1_bases001.bin,50,4,裏,0,0,1,7,001
20251213_120104,snaps/20251213_120104_trig60_i5表_b0s0o0_basesskip.bin,60,5,表,0,0,0,8,skip
